AAA;SDSI;DDWM;FXU;LVOL;SCHD;XMHQ
NUSB;CIL;FMAT;KIE;RING;WBIL;
NYF;CIZ;FMAY;KJAN;RITA;WBIY;
OACP;CLDL;FMCX;KJUL;RJMG;WCBR;
OBIL;CLIA;FMDE;KLDW;RNEM;WCEO;
OBND;CLIX;FMED;KLIP;RNEW;WCLD;
OPER;CLNR;FMET;KLNE;RNMC;WDIV;
OVB;CLOD;FMQQ;KLXY;RNRG;WDNA;
OVM;CLOU;FNCL;KNCT;RNSC;WEBL;
OVT;CN;FNDA;KNG;RNWZ;WEBS;
OWNS;CNBS;FNDB;KNGS;ROAM;WEED;
PAAA;CNCR;FNDC;KNGZ;ROBO;WFH;
PAB;CNRG;FNDE;KOCG;ROBT;WGMI;
PBTP;CNXT;FNDF;KOCT;RODE;WINN;
PCRB;CNYA;FNDX;KOIN;RODM;WISE;
PCY;COAL;FNGG;KOKU;ROE;WLDR;
PFF;CONL;FNK;KOMP;ROKT;WNDY;
PFFA;CONY;FNOV;KONG;ROM;WOMN;
PFFD;COPJ;FNX;KORU;ROOF;WOOD;
PFFR;COPP;FNY;KPOP;ROSC;WPS;
PFFV;COPX;FOCT;KPRO;ROUS;WRND;
PFIG;COWG;FOVL;KRE;ROYA;WTAI;
PFLD;COWS;FPA;KRMA;RPG;WTRE;
PFRL;COWZ;FPAG;KROP;RPHS;WTV;
PFXF;CPAI;FPRO;KRUZ;RPV;WUGI;
PGF;CQQQ;FPX;KSA;RSEE;WWJD;
PGHY;CRAK;FPXE;KSEA;RSHO;XAR;
PGX;CRBN;FPXI;KSTR;RSP;XAUG;
PHB;CRED;FQAL;KTEC;RSPC;XBAP;
PHYD;CRIT;FRDM;KURE;RSPD;XBI;
PHYL;CRPT;FREL;KVLE;RSPE;XBJA;
PICB;CRTC;FRI;KWEB;RSPF;XBJL;
PIFI;CRUZ;FRNW;KWT;RSPG;XBOC;
PQDI;CSA;FRTY;KXI;RSPH;XC;
PREF;CSB;FSEP;LABD;RSPM;XCEM;
PRFD;CSD;FSMD;LABU;RSPN;XCLR;
PSDM;CSF;FSST;LBO;RSPR;XCOR;
PSH;CSM;FSTA;LCF;RSPS;XDAP;
PSK;CSMD;FSZ;LCG;RSPT;XDAT;
PST;CSML;FTA;LCLG;RSPU;XDEC;
PTBD;CTEC;FTAG;LCTD;RTH;XDJA;
PTRB;CTEX;FTC;LCTU;RUFF;XDJL;
PULS;CURE;FTCS;LDEM;RUNN;XDOC;
PULT;CUT;FTDS;LEAD;RVRB;XDQQ;
PVI;CVAR;FTEC;LEGR;RWJ;XDSQ;
PWZ;CVIE;FTGS;LFEQ;RWK;XDTE;
PYLD;CVLC;FTHF;LGH;RWL;XES;
PZA;CVMC;FTHI;LGHT;RWM;XFEB;
PZT;CVRD;FTIF;LGLV;RWO;XHB;
QCON;CVSE;FTQI;LGLZ;RWR;XHE;
QLTA;CWEB;FTRI;LGRO;RWX;XHS;
QPFF;CWI;FTWO;LIT;RXD;XIDE;
RAVI;CWS;FTXG;LITP;RXI;XISE;
RDFI;CXSE;FTXH;LJAN;RXL;XITK;
RFCI;CZA;FTXL;LNGG;RYJ;XJAN;
RHCB;CZAR;FTXN;LNGZ;RYLD;XJH;
RIGS;DAPP;FTXO;LOCT;RYLG;XJR;
RISR;DAPR;FTXR;LOPP;RZG;XJUL;
RMIF;DARP;FUNL;LOUP;RZV;XJUN;
RTAI;DAT;FUTY;LOWV;SAA;XLB;
RVNU;DAUG;FV;LQAI;SAEF;XLC;
SBND;DAX;FVAL;LRGC;SAGP;XLE;
SCHI;DBAW;FVC;LRGE;SAMT;XLF;
SCHJ;DBEF;FVD;LRGF;SANE;XLG;
SCHO;DBEM;FWD;LRND;SARK;XLI;
SCHP;DBEU;FXD;LRNZ;SATO;XLK;
SCHQ;DBEZ;FXG;LSAF;SAUG;XLP;
SCHR;DBGR;FXH;LSAT;SBB;XLRE;
SCHZ;DBJP;FXI;LSGR;SBIO;XLSR;
SCIO;DCOR;FXL;LTL;SCAP;XLU;
SCMB;DDEC;FXN;LUX;SCC;XLV;
SCRD;DDIV;FXO;LUXX;SCHA;XLY;
SCYB;DDLS;FXP;LVHD;SCHB;XMAR;
SDCP;DDM;FXR;LVHI;SCHC;XME;
SOXS;SQQQ;SPY;TQQQ;SOXL;FXI;
XLF;QQQ;TLT;IWM;HYG;LQD;EEM
UVXY;SPXU;SPXS;GDX;BITO;KWEB
TNA;TZA;EWZ;SH;QID;SLV;GBTC
PSQ;XLE;XLU;LABD;TSLL;KRE;EFA
ARKK;VXX;XLP;XBI;BOIL;NVDL;VEA
IEMG;VWO;SDOW;JDST;XLI;TECS;EWJ
IEF;AGG;SMH;SPLG;GOVT;TMF;IEFA
XLV;MSOS;VCIT;BKLN;SDS;YINN;UNG
BND;BITI;XLRE;IJH;SPXL;GLD;BIL
GDXJ;XLK;UPRO;IYR;EMB;XRT;RSP
XLC;IAU;IVV;USHY;XLB;UVIX;JNK
VOO;VCSH;VNQ;BNDX;SHY;MCHI;PFF
XLY;IJR;SPTL;USO;INDA;SPIB;DUST
SOXX;ACWI;SJNK;VIXY



