AAA;SDSI;DDWM;FXU;LVOL;SCHD;XMHQ
CBON;USDX;DRIV;GXG;NBCE;SNOV;USDU
CDX;USFI;DRLL;GXTG;NBCT;SNPD;UUP
CEMB;USFR;DRN;GXUS;NBDS;SNPE;YBTC
CGCB;USHY;DRUP;HACK;NBGR;SNPG;YCL
CGCP;USIG;DRV;HAIL;NBOS;SNPV;YCS
CGMS;UST;DSEP;HAP;NDIA;SNSR;AAAU
CGMU;USTB;DSI;HAPI;NDIV;SOCL;AGQ
CGSD;USVN;DSMC;HAPS;NDJI;SOLR;ALUM
CGSM;UTEN;DSTL;HAPY;NDVG;SOVF;AMPD
CHAI;UTHY;DSTX;HART;NERD;SOXL;BAR
CLIP;UTRE;DTD;HAUS;NETL;SOXQ;BCD
CLOA;UTWO;DTEC;HAUZ;NETZ;SOXS;BCI
CLOI;UTWY;DTH;HAWX;NFLP;SOXX;BCIM
CLOX;UYLD;DTRE;HCMT;NFLY;SPAM;BDRY
CLOZ;VABS;DUBS;HCOW;NFRA;SPAQ;BGLD
CMBS;VBND;DUG;HDAW;NFTY;SPAX;BNO
CMF;VCEB;DUHP;HDEF;NGE;SPC;BOIL
CORP;VCIT;DURA;HDGE;NIKL;SPCX;BWET
CPII;VCLT;DUSA;HDMV;NJAN;SPCZ;CANE
CPLS;VCRB;DUSL;HDRO;NJUL;SPD;CCRV
CRDT;VCSH;DUST;HDUS;NLR;SPDG;CMCI
CSHI;VEMY;DVAL;HDV;NOBL;SPDN;CMDT
CVRT;VETZ;DVDN;HEAT;NOCT;SPDV;CMDY
CVSB;VGIT;DVLU;HEDJ;NORW;SPDW;COM
CWB;VGLT;DVND;HEEM;NOVZ;SPEM;COMB
DBND;VGSH;DVOL;HEFA;NRES;SPEU;COMT
DCRE;VMBS;DVY;HEGD;NRSH;SPGM;CORN
DEED;VNLA;DVYA;HELO;NSCR;SPGP;CPER
DFCA;VPLS;DVYE;HELX;NSCS;SPHB;DBA
DFCF;VRIG;DWAS;HEQT;NSI;SPHD;DBB
DFGP;VRP;DWAW;HERD;NSPI;SPHQ;DBC
DFGX;VSHY;DWCR;HERO;NTKI;SPLG;DBE
DFHY;VTC;DWLD;HEWG;NTZG;SPLV;DBO
DFIP;VTEB;DWM;HEWJ;NUDM;SPMD;DBP
DFNM;VTEC;DWMF;HEZU;NUDV;SPMO;DCMT
DFSB;VTEI;DWSH;HFGO;NUEM;SPMV;EVMT
DFSD;VTES;DWUS;HFXI;NUGO;SPQ;FGDL
DGCB;VTIP;DWX;HIBL;NUGT;SPRE;FTGC
DIAL;VUSB;DXD;HIBS;NUKZ;SPRX;GCC
DMBS;VWOB;DXJ;HIDV;NULC;SPSM;GLD
DUSB;WABF;DXJS;HJAN;NULG;SPTE;GLDM
DYFI;WBND;DYLG;HJEN;NULV;SPTM;GLL
DYLD;WFHY;DYNF;HKND;NUMG;SPUC;GLTR
EAGG;WFIG;DYNI;HLAL;NUMV;SPUS;GSG
EBND;WINC;DYTA;HLGE;NURE;SPUU;HARD
EDV;WIP;EALT;HOCT;NUSC;SPVM;HCOM
EFIX;WTBN;EAPR;HOMZ;NUSI;SPVU;HGER
ELD;XB;EASG;HQGO;NVBT;SPWO;IAU
ELQD;XBB;EATV;HRTS;NVBW;SPXE;IAUF
EMB;XBIL;EATZ;HSCZ;NVD;SPXL;IAUM
EMBD;XCCC;EBIZ;HSMV;NVDD;SPXN;IGLD
EMCB;XEMD;EBLU;HTEC;NVDL;SPXS;KARB
EMHC;XFIV;ECH;HTUS;NVDQ;SPXT;KCCA
EMHY;XFIX;ECLN;HUSV;NVDS;SPXU;KEUA
EMLC;XFLX;ECML;HYDR;NVDU;SPXV;KMET
EMNT;XHLF;ECNS;HYLG;NVDX;SPY;KOLD
EMTL;XHYC;ECON;IAI;NVDY;SPYC;KRBN
EPRF;XHYD;ECOW;IAK;NVIR;SPYD;KSET
ESCR;XHYE;EDC;IAPR;NWLG;SPYG;NBCM
ESEB;XHYF;EDEN;IAT;NXTE;SPYI;OILK
ESGB;XHYH;EDIV;IBB;NXTG;SPYT;OUNZ
ESHY;XHYI;EDOC;IBBQ;NZAC;SPYV;PALL
EUSB;XHYT;EDOG;IBLC;NZUS;SPYX;PDBA
EVHY;XMPT;EDOW;IBOT;OAEM;SQEW;PDBC
EVIM;XONE;EDZ;IBRN;OAIM;SQLV;PHYS
EVLN;XSVN;EELV;IBUY;OALC;SQQQ;PIT
EVSB;XTEN;EEM;ICAP;OARK;SQY;PLTM
EYEG;XTRE;EEMA;ICF;OBOR;SRET;PPLT
FALN;XTWO;EEMD;ICLN;OCEN;SRHQ;RENW
FBND;XTWY;EEMO;ICOP;OCTD;SRHR;SCO
FCAL;YEAR;EEMS;ICOW;OCTH;SROI;SDCI
FCOR;ZROZ;EEMV;IDAT;OCTJ;SRS;SGOL
FCSH;ZTAX;EEMX;IDEC;OCTQ;SRTY;SIVR
FCVT;ZTEN;EES;IDEV;OCTT;SRVR;SLV
FDHY;ZTRE;EET;IDGT;OCTW;SSG;SOYB
FDTB;ZTWO;EEV;IDHQ;OCTZ;SSLY;TAGS
FEIG;AADR;EFA;IDLV;ODDS;SSO;TILL
FEMB;AAPB;EFAD;IDMO;OEF;SSPX;TMET
FFIU;AAPD;EFAS;IDNA;OEUR;SSPY;UCO
FHYS;AAPU;EFAV;IDOG;OFOS;SSUS;UGA
FIBR;AAPX;EFAX;IDRV;OGIG;SSXU;UGL
FIGB;AAPY;EFG;IDU;OIH;STCE;UNG
FIIG;AAXJ;EFIV;IDUB;OILT;STLG;UNL
FISR;ABCS;EFNL;IDV;OMFL;STNC;USCI
FIXD;ABEQ;EFO;IDVO;OMFS;STRV;USG
FLBL;ACES;EFRA;IDX;OND;STXD;USL
FLCB;ACIO;EFU;IEDI;ONEO;STXE;USO
FLCO;ACSI;EFV;IEFA;ONEQ;STXG;WEAT
FLDB;ACTV;EFZ;IEMG;ONEV;STXK;ZSB
FLDR;ACVF;EGPT;IEO;ONEY;STXV;ZSC
FLGV;ACWI;EGUS;IETC;ONLN;SUPL;ZSL
FLHY;ACWV;EIDO;IEUR;OOTO;SUPP;AGOX
FLIA;ACWX;EINC;IEUS;OSCV;SURE;AHLT
FLMB;ADIV;EIPX;IEV;OSEA;SUSA;ALTY
FLMI;ADME;EIRL;IEZ;OUSA;SUSL;AMAX
FLOT;ADPV;EIS;IFEB;OUSM;SVAL;AOA
FLRN;ADVE;EJAN;IFGL;OVF;SXQG;AOK
FLRT;AESR;EJUL;IFRA;OVL;SXUS;AOM
FLTB;AFK;EKG;IFV;OVLH;SYII;AOR
FLTN;AFLG;EMC;IGE;OVS;SYLD;ARKD
FLTR;AFMC;EMCC;IGF;PABD;SYNB;ASET
FLUD;AFSM;EMCR;IGM;PABU;SYUS;AVMA
FMB;AFTY;EMDM;IGPT;PALC;SZK;BAMA
FMHI;AGNG;EMDV;IGRO;PAMC;SZNE;BAMO
FMNY;AGQI;EMFM;IGTR;PAPI;TAN;BAMY
FPE;AHOY;EMFQ;IGV;PAPR;TARK;BITS
FPEI;AIA;EMGF;IHAK;PAUG;TBG;BSR
FPFD;AIEQ;EMIF;IHDG;PAVE;TCAF;BTR
FSBD;AIQ;EMLP;IHE;PAWZ;TCHI;CANQ
FSEC;AIRL;EMM;IHF;PBD;TCHP;CAOS
FSIG;AIRR;EMMF;IHI;PBDC;TDI;CCEF
FSLD;AIVI;EMQQ;IJAN;PBE;TDIV;CEFS
FSMB;AIVL;EMSF;IJH;PBFB;TDV;CETF
FSYD;AIYY;EMSG;IJJ;PBJ;TDVG;CGBL
FTBD;AJAN;EMTY;IJK;PBJA;TDVI;CLSM
FTCB;ALTL;EMXC;IJR;PBMR;TECB;CVY
FTRB;AMDS;EMXF;IJS;PBP;TECL;CYA
FTSD;AMDY;ENFR;IJT;PBUS;TECS;DALI
FTSL;AMID;ENOR;IJUL;PBW;TEMP;DRSK
FTSM;AMLP;ENTR;ILCB;PCCE;TEQI;DSCF
FUMB;AMOM;ENZL;ILCG;PCGG;TGLR;DWAT
FUSI;AMZA;EOCT;ILCV;PCIG;TGRT;EAOA
FXED;AMZD;EPHE;ILDR;PDEC;TGRW;EAOK
GBF;AMZP;EPI;ILF;PDN;THD;EAOM
GBIL;AMZU;EPOL;ILIT;PDP;THLV;EAOR
GCOR;AMZY;EPP;IMAR;PEJ;THNQ;FAIL
GEMD;ANEW;EPS;IMCB;PEMX;TILT;FCEF
GHMS;AOTG;EPU;IMCG;PEX;TIME;FDAT
GHYB;APIE;EPV;IMCV;PEXL;TINT;FIG
GHYG;APLY;EQAL;IMFL;PEY;TINY;FORH
GIGB;APRD;EQL;IMOM;PEZ;TJUL;GAA
GMUN;APRH;EQRR;IMTM;PFEB;TLTD;GAL
GNMA;APRJ;EQTY;INAV;PFI;TLTE;GDE
GOVI;APRQ;EQUL;INCO;PFM;TMAT;GDMA
GOVT;APRT;EQWL;INDA;PFUT;TMDV;GDMN
GOVZ;APRW;ERET;INDE;PGJ;TMFC;GHTA
GRNB;APRZ;ERSX;INDF;PGRO;TMFE;GMOM
GSIG;APUE;ERTH;INDL;PHDG;TMFG;GOLY
GSST;AQWA;ERX;INDS;PHEQ;TMFM;GYLD
GSY;ARGT;ERY;INDY;PHO;TMFS;HIDE
GTIP;ARKF;ESG;INFL;PICK;TMFX;HIPS
GTO;ARKG;ESGA;INFR;PID;TMSL;HNDL
GVI;ARKK;ESGD;INNO;PIE;TNA;HYIN
HCRB;ARKQ;ESGE;INOV;PILL;TOK;INC
HIGH;ARKW;ESGG;INQQ;PIN;TOKE;INCM
HISF;ARKX;ESGN;INTF;PINK;TOLL;INKM
HIYS;ARVR;ESGS;INTL;PIO;TOLZ;IRBA
HMOP;ASEA;ESGU;IOCT;PIZ;TOUS;IRTR
HSRT;ASHR;ESGV;ION;PJAN;TPHD;ISWN
HSUN;ASHS;ESGY;IOO;PJBF;TPHE;ITDA
HTAB;ASHX;ESIX;IOPP;PJFG;TPIF;ITDB
HTRB;ASIA;ESML;IPAC;PJFM;TPLC;ITDC
HYBB;ATFV;ESMV;IPAY;PJFV;TPLE;ITDD
HYBL;AUGT;ESPO;IPDP;PJIO;TPOR;ITDE
HYD;AUGW;ETEC;IPKW;PJP;TPSC;ITDF
HYDB;AUGZ;ETHO;IPO;PJUL;TPYP;ITDG
HYDW;AUMI;EUDG;IPOS;PJUN;TQQQ;ITDH
HYEM;AUSF;EUDV;IQDE;PKB;TRFK;ITDI
HYFI;AVDE;EUFN;IQDF;PKW;TRFM;IWIN
HYG;AVDS;EUM;IQDG;PLDR;TRND;IYLD
HYGH;AVDV;EURL;IQDY;PMAR;TSDD;KNOW
HYGI;AVEE;EUSA;IQIN;PMAY;TSL;LCR
HYGV;AVEM;EUSC;IQLT;PNOV;TSLH;LEXI
HYGW;AVES;EV;IQM;PNQI;TSLL;MAMB
HYHG;AVGE;EVAV;IQRA;POCT;TSLP;MAPP
HYLB;AVGV;EVUS;IQSI;POWA;TSLQ;MDIV
HYLS;AVIE;EVX;IQSM;PP;TSLR;MFUL
HYMB;AVIV;EVXX;IQSU;PPA;TSLS;MKAM
HYMU;AVLC;EWA;IRBO;PPEM;TSLT;MOOD
HYRM;AVLV;EWC;IRET;PPH;TSLY;MPAY
HYS;AVMC;EWD;ISCB;PPIE;TSLZ;MPRO
HYSA;AVMV;EWG;ISCF;PPTY;TSME;MRSK
HYTR;AVNM;EWH;ISCG;PRAY;TSPA;MSMR
HYUP;AVNV;EWI;ISCV;PRF;TTAC;MVFD
HYXF;AVRE;EWJ;ISEP;PRFZ;TTAI;MVFG
HYXU;AVSC;EWJV;ISHP;PRN;TUR;NTSE
HYZD;AVSD;EWK;ISMD;PRNT;TVAL;NTSI
IAGG;AVSE;EWL;ISPY;PSC;TWM;NTSX
IBD;AVSU;EWM;ISRA;PSCC;TXS;OCIO
IBDO;AVUS;EWN;ISVL;PSCD;TXSS;ONOF
IBDP;AVUV;EWO;ISZE;PSCE;TYLG;PBL
IBDQ;AWAY;EWP;ITA;PSCF;TZA;PCEF
IBDR;AWEG;EWQ;ITAN;PSCH;UAE;PPI
IBDS;AZTD;EWS;ITB;PSCI;UAPR;PRAE
IBDT;BABX;EWT;ITEQ;PSCJ;UAUG;PWS
IBDU;BALI;EWU;ITOT;PSCM;UBOT;QDPL
IBDV;BALT;EWUS;IUS;PSCQ;UBR;QPX
IBDW;BAMD;EWV;IUSG;PSCT;UCC;QSWN
IBDX;BAMG;EWW;IUSV;PSCU;UCYB;QVOY
IBDY;BAMV;EWX;IVAL;PSCW;UDEC;RAAX
IBHD;BAPR;EWY;IVE;PSCX;UDI;RHTX
IBHE;BATT;EWZ;IVEG;PSEP;UDIV;RISN
IBHF;BAUG;EWZS;IVES;PSET;UDOW;ROMO
IBHG;BBAX;EXI;IVLU;PSFD;UEVM;RORO
IBHH;BBC;EYLD;IVOG;PSFF;UFEB;RSSB
IBHI;BBCA;EZA;IVOO;PSFJ;UFO;RULE
IBHJ;BBEM;EZJ;IVOV;PSFM;UGE;SPBC
IBIA;BBEU;EZM;IVRA;PSFO;UIVM;SURI
IBIB;BBH;EZU;IVRS;PSI;UJAN;SWAN
IBIC;BBIN;FAB;IVV;PSIL;UJUL;TACK
IBID;BBJP;FAD;IVVB;PSL;UJUN;TAIL
IBIE;BBLU;FAN;IVVM;PSMD;ULTY;TBFC
IBIF;BBMC;FAPR;IVW;PSMJ;ULVM;TBFG
IBIG;BBP;FAS;IWB;PSMO;UMAR;TDSB
IBIH;BBRE;FAUG;IWC;PSMR;UMAY;TDSC
IBII;BBSC;FAZ;IWD;PSP;UMDD;TFPN
IBIJ;BBUS;FBCG;IWF;PSQ;UMI;THY
IBMM;BCDF;FBCV;IWFG;PSR;UMMA;TRTY
IBMN;BCHP;FBL;IWFH;PSTP;UNOV;TUG
IBMO;BCUS;FBOT;IWL;PSWD;UOCT;TUGN
IBMP;BDEC;FBT;IWLG;PTEC;UPGR;TWIO
IBMQ;BDGS;FBY;IWM;PTEU;UPRO;VEGA
IBMR;BDVG;FBZ;IWMY;PTF;UPV;VPC
IBND;BECO;FCA;IWN;PTH;UPW;VWI
IBTE;BEDZ;FCFY;IWO;PTIN;URA;WLTG
IBTF;BEEZ;FCG;IWP;PTLC;URE;XRLX
IBTG;BETZ;FCLD;IWR;PTMC;URNJ;YLD
IBTH;BFEB;FCOM;IWS;PTNQ;URNM;YYY
IBTI;BFOR;FCPI;IWTR;PUI;URTH;ZHDG
IBTJ;BGIG;FCTR;IWV;PUTD;URTY;ZZZ
IBTK;BIB;FCUS;IWX;PUTW;USAI;ARB
IBTL;BIBL;FDCE;IWY;PVAL;USCA;ARP
IBTM;BILD;FDCF;IXC;PWB;USCF;BTAL
IBTO;BINV;FDD;IXG;PWER;USCL;CBLS
ICLO;BIS;FDEC;IXJ;PWV;USD;CLSE
ICSH;BITQ;FDEM;IXN;PXE;USEP;CTA
ICVT;BIZD;FDEV;IXP;PXF;USMC;DALT
IEF;BJAN;FDFF;IXUS;PXH;USMF;DBEH
IEI;BJK;FDG;IYC;PXI;USMV;DBMF
IG;BJUL;FDGR;IYE;PXJ;USNZ;EQLS
IGBH;BJUN;FDHT;IYF;PY;USPX;EVNT
IGEB;BKCH;FDIF;IYG;PYPY;USRD;FAAR
IGHG;BKCI;FDIG;IYH;PYZ;USRT;FFLS
IGIB;BKEM;FDIS;IYJ;QABA;USSE;FIAX
IGLB;BKF;FDIV;IYK;QARP;USSG;FLSP
IGOV;BKGI;FDL;IYM;QAT;USVM;FMF
IGSB;BKIE;FDLO;IYR;QCLN;USVT;FTLS
IHY;BKIV;FDLS;IYT;QCLR;USXF;HDG
IHYF;BKLC;FDM;IYW;QDEC;UTES;HF
IIGD;BKMC;FDMO;IYY;QDEF;UTRN;HFND
ILTB;BKSE;FDN;IYZ;QDF;UTSL;HYKE
IMSI;BKWO;FDNI;IZRL;QDIV;UWM;KMLM
IMTB;BLCN;FDRR;JAND;QDTE;UXI;LALT
INMU;BLCR;FDRV;JANH;QEFA;UYG;LBAY
IPPP;BLCV;FDT;JANJ;QEMM;UYM;LSEQ
IQHI;BLDG;FDTS;JANP;QFLR;VALQ;MARB
IRVH;BLES;FDTX;JANQ;QGRO;VAMO;MNA
ISDB;BLKC;FDV;JANT;QGRW;VAW;MRGR
ISHG;BLLD;FDVL;JANW;QID;VB;OAIA
ISTB;BLOK;FDVV;JANZ;QINT;VBK;OAIB
ITM;BMAR;FDWM;JAVA;QJUN;VBR;OAIE
IUSB;BMAY;FEBP;JCHI;QLC;VCAR;PFIX
IVOL;BMED;FEBT;JCTR;QLD;VCLN;PRMN
JAAA;BMVP;FEBW;JDOC;QLTY;VCR;QAI
JBBB;BNE;FEBZ;JDST;QLV;VDC;QIS
JBND;BNGE;FEDM;JDVI;QLVD;VDE;RATE
